id,lastUpdateTime,name,total_confirm,total_suspect,total_heal,total_dead,total_severe,total_input,today_confirm,today_suspect,today_heal,today_dead,today_severe,today_storeConfirm,today_input
15,2020-04-03 00:33:36,意大利,115242,0,18278,13915,0,,4668.0,,1431.0,760.0,,,
16,2020-04-03 15:48:52,俄罗斯,4149,0,281,34,0,,601.0,0.0,91.0,4.0,0.0,,
17,2020-04-03 16:40:22,菲律宾,3018,0,52,136,0,,385.0,0.0,1.0,29.0,0.0,,
18,2020-04-03 22:37:20,芬兰,1615,0,300,19,0,,169.0,0.0,290.0,2.0,0.0,,
19,2020-04-03 07:36:09,尼泊尔,6,0,1,0,0,,1.0,0.0,0.0,0.0,0.0,,
95682,2020-04-03 20:08:13,葡萄牙,9886,0,43,246,0,,852.0,0.0,0.0,37.0,0.0,,
954356,2020-04-01 10:55:54,塞舌尔,10,0,0,0,0,,,0.0,,,0.0,,
20,2020-04-03 22:08:17,西班牙,117710,0,30513,10935,0,,5645.0,0.0,3770.0,587.0,0.0,,
21,2020-04-03 01:55:50,斯里兰卡,150,0,21,3,0,,4.0,0.0,3.0,1.0,0.0,,
9509,2020-04-03 04:25:27,阿尔及利亚,986,0,46,83,0,,139.0,0.0,0.0,25.0,0.0,,
22,2020-04-01 00:00:31,柬埔寨,109,0,23,0,0,,,0.0,,,0.0,,
95239,2020-03-31 00:00:31,海地,15,0,1,0,0,,,0.0,,,0.0,,
23,2020-04-03 22:17:06,瑞典,6078,0,103,333,0,,612.0,0.0,0.0,51.0,0.0,,
95237,2020-04-01 00:00:31,特立尼达和多巴哥,85,0,1,3,0,,,0.0,,,0.0,,
95jibuti,2020-04-03 21:39:13,吉布提,49,0,8,0,0,,9.0,0.0,8.0,0.0,0.0,,
953487,2020-04-03 07:30:11,布基纳法索,288,0,50,16,0,,6.0,0.0,4.0,0.0,0.0,,
954332,2020-04-03 17:35:08,比利时,16770,0,2872,1043,0,,1422.0,0.0,740.0,32.0,0.0,,
9534324,2020-04-03 07:28:30,伊拉克,772,0,202,54,0,,44.0,0.0,20.0,2.0,0.0,,
95000111,2020-04-03 01:34:19,马拉维,3,0,0,0,0,,3.0,0.0,0.0,0.0,0.0,,
95010,2020-04-03 02:46:46,冰岛,1319,0,284,4,0,,99.0,0.0,48.0,2.0,0.0,,
95jnybs,2020-04-03 02:22:01,几内亚比绍,9,0,0,0,0,,1.0,0.0,0.0,0.0,0.0,,
953333666,2020-04-03 02:03:16,拉脱维亚,458,0,1,0,0,,12.0,0.0,0.0,0.0,0.0,,
9512111,2020-03-31 00:00:31,不丹,4,0,0,0,0,,,0.0,,,0.0,,
957873,2020-04-03 22:22:28,挪威,5296,0,32,54,0,,171.0,0.0,19.0,6.0,0.0,,
9524546,2020-04-03 22:36:01,印度尼西亚,1896,0,134,181,0,,106.0,0.0,22.0,11.0,0.0,,
956789,2020-04-02 03:34:30,安哥拉,8,0,1,2,0,,,0.0,,,0.0,,
87656,2020-03-27 11:32:45,开曼群岛,5,0,0,1,0,,,0.0,,,0.0,,
95844,2020-04-03 18:02:13,埃塞俄比亚,35,0,2,0,0,,6.0,0.0,0.0,0.0,0.0,,
95879,2020-03-30 00:00:31,梵蒂冈,6,0,0,0,0,,,0.0,,,0.0,,
95632,2020-04-03 07:05:34,科特迪瓦,194,0,1,15,0,,4.0,0.0,0.0,14.0,0.0,,
95634,2020-04-03 02:51:09,卡塔尔,949,0,72,5,0,,114.0,0.0,1.0,3.0,0.0,,
950611,2020-04-03 13:23:27,格鲁吉亚,139,0,26,0,0,,9.0,0.0,0.0,0.0,0.0,,
96745,2020-04-03 09:50:15,墨西哥,1510,0,35,50,0,,132.0,0.0,0.0,13.0,0.0,,
95891,2020-04-01 00:00:31,圣马力诺,230,0,13,25,0,,,,,,,,
95400,2020-04-02 08:13:08,哈萨克斯坦,343,0,24,2,0,,,0.0,,,0.0,,
95643,2020-04-03 02:49:12,安道尔,428,0,14,15,0,,38.0,0.0,3.0,1.0,0.0,,
95886,2020-04-01 00:00:31,牙买加,36,0,2,1,0,,,0.0,,,0.0,,
82333,2020-03-27 11:33:37,格恩西岛,1,0,0,0,0,,,0.0,,,0.0,,
95677,2020-04-03 22:26:21,罗马尼亚,3183,0,283,118,0,,445.0,0.0,16.0,24.0,0.0,,
95436,2020-04-03 16:16:39,阿曼,252,0,57,1,0,,21.0,0.0,16.0,0.0,0.0,,
95672,2020-04-01 00:00:31,列支敦士登,64,0,0,0,0,,,0.0,,,0.0,,
9547021,2020-04-03 04:34:35,马达加斯加,59,0,0,0,0,,2.0,0.0,0.0,0.0,0.0,,
